fountaintype,position,propname,borough,fountaincount,district,point
Pedestal,Near Ballfield,Wards Island Park,M,1,"Pedestal, Near Ballfield"," (-73.93156084097444,40.78626570338355)"
C,"Out in Open, In Playground",Surf Playground,B,1,"C, Out in Open, In Playground"," (-73.99265667410363,40.57363757038454)"
B,"In Shade, In Playground",Cobble Hill Park,B,1,"B, In Shade, In Playground"," (-73.99645526229924,40.68831818739888)"
C,Out in Open,Ferry  Park,X,1,"C, Out in Open"," (-73.8391603870302,40.81168010109429)"
Indoor Drinking Fountain,Indoor,Central Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.96584352708415,40.78379340449473)"
E,Out in Open,Central Park,M,1,"E, Out in Open"," (-73.96583595947189,40.78940347112112)"
E High Low,"Under Tree, In Playground",Central Park,M,2,"E High Low, Under Tree, In Playground"," (-73.96771371285341,40.77208664005277)"
C,"Under Tree, In Shade, Out in Open, In Playground",Bushwick Playground,B,1,"C, Under Tree, In Shade, Out in Open, In Playground"," (-73.9117088407966,40.695839442032444)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83993757112225,40.74457092464133)"
A,"Under Tree, Near Ballfield, In Playground",Mae Grant Playground,M,1,"A, Under Tree, Near Ballfield, In Playground"," (-73.9493962169451,40.79242485897418)"
A,Out in Open,Greencroft Playground,R,1,"A, Out in Open"," (-74.13614225043787,40.55202806062855)"
C,Out in Open,Valentino Pier,B,1,"C, Out in Open"," (-74.01769289412715,40.678434488299985)"
E,"Under Tree, Just Outside Playground",Veterans Grove,Q,1,"E, Under Tree, Just Outside Playground"," (-73.87769352804685,40.74254902622694)"
Pedestal,Near Ballfield,Randall's Island Park,M,1,"Pedestal, Near Ballfield"," (-73.91443747619401,40.79548622390553)"
C,"Out in Open, In Playground",Bronx Park,X,1,"C, Out in Open, In Playground"," (-73.87780644602857,40.84272454637148)"
E High Low,"In Playground, Under Tree",Webster Playground,X,2,"E High Low, In Playground, Under Tree"," (-73.89297815269266,40.85949659784668)"
E,Near Ballfield,John V. Lindsay East River Park,M,1,"E, Near Ballfield"," (-73.97500984933613,40.715138391658094)"
Bottle Filler Fountain,Indoor,Randall's Island Park,M,2,"Bottle Filler Fountain, Indoor"," (-73.923252936181,40.799427936597155)"
A,"Under Tree, Near Ballfield",Co-op City Field,X,1,"A, Under Tree, Near Ballfield"," (-73.82391423651033,40.87600897867402)"
A,"Near Ballfield, Out in Open",Canarsie Park,B,1,"A, Near Ballfield, Out in Open"," (-73.89291270064504,40.62981831933229)"
A,"In Playground, Out in Open",Canarsie Park,B,1,"A, In Playground, Out in Open"," (-73.89336967046003,40.630740836146344)"
A,"Near Ballfield, Under Tree",Sternberg Park,B,1,"A, Near Ballfield, Under Tree"," (-73.94659444606421,40.70659983666567)"
E,Out in Open,Wards Island Park,M,1,"E, Out in Open"," (-73.93341229981776,40.788065176306056)"
D,"Under Tree, In Playground",Cedar Playground,X,1,"D, Under Tree, In Playground"," (-73.91742533804282,40.85528369581015)"
C,"In Shade, Under Tree",Morgan Playground,X,1,"C, In Shade, Under Tree"," (-73.90755652017631,40.83190697157354)"
Indoor Drinking Fountain,Indoor,Crotona Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.89775674440803,40.84050370314434)"
E and Dog,"Under Tree, Near Ballfield, In Shade",Central Park,M,2,"E and Dog, Under Tree, Near Ballfield, In Shade"," (-73.97693283286225,40.76934533443023)"
E,Near Ballfield,Juniper Valley Park,Q,1,"E, Near Ballfield"," (-73.88258463237801,40.71977930251913)"
C,"Under Tree, Out in Open",Crosson Park,Q,1,"C, Under Tree, Out in Open"," (-73.89584690526658,40.74294640416842)"
Bottle Filler High Low,Near Ballfield,Alley Athletic Playground,Q,3,"Bottle Filler High Low, Near Ballfield"," (-73.734487471583,40.73999689804582)"
E,"Under Tree, In Shade, Near Ballfield",Central Park,M,1,"E, Under Tree, In Shade, Near Ballfield"," (-73.96136420109515,40.79212783620168)"
C,"In Playground, Out in Open",Rudd Playground,B,1,"C, In Playground, Out in Open"," (-73.90502104674889,40.68326961457131)"
E,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,1,"E, Out in Open"," (-74.06678899596318,40.58863687498751)"
B,S.W corner of prk behind backstop,Harlem River Park,M,1,"B, S.W corner of prk behind backstop"," (-73.93456818501653,40.805902639344716)"
Other,,Starlight Park,X,1,"Other,"," (-73.8831638125079,40.83343848172364)"
A,"Just Outside Playground, Under Tree",Williamsbridge Oval,X,1,"A, Just Outside Playground, Under Tree"," (-73.87851014691479,40.87772860700301)"
D,"Near Ballfield, Out in Open",Harris Park,X,1,"D, Near Ballfield, Out in Open"," (-73.89177622778855,40.87497779918257)"
C,"Under Tree, In Playground",Underhill Playground,B,1,"C, Under Tree, In Playground"," (-73.96570801781375,40.67657431937621)"
Indoor Drinking Fountain,Indoor,Van Cortlandt Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.8968212586797,40.89021802520583)"
E,"Under Tree, In Shade, In Playground",Calvert Vaux Park,B,1,"E, Under Tree, In Shade, In Playground"," (-73.99021625373688,40.587936639381326)"
Indoor Drinking Fountain,Indoor,Fisher Pool,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.86945877599172,40.758451972668354)"
C,"Out in Open, Near Ballfield, In Shade",Crotona Park,X,1,"C, Out in Open, Near Ballfield, In Shade"," (-73.89870519234373,40.83810030670626)"
D,In Playground,Bronx River Parkway,X,1,"D, In Playground"," (-73.86404138631929,40.89077734365451)"
A,,Dry Dock Playground,M,1,"A,"," (-73.97581417340223,40.72537612799177)"
Bottle Filler High Low,"Under Tree, Near Ballfield, In Playground,In_Playground,Near_Ballfield",Sol Lain Plgd,M,3,"Bottle Filler High Low, Under Tree, Near Ballfield, In Playground,In_Playground,Near_Ballfield"," (-73.98397195351524,40.71426751706166)"
Indoor Drinking Fountain,Indoor,Sunset Park,B,1,"Indoor Drinking Fountain, Indoor"," (-74.00212128606182,40.646921460639305)"
A,"Out in Open, Under Tree",Flushing Meadows Corona Park,Q,1,"A, Out in Open, Under Tree"," (-73.84205658971098,40.74031574562551)"
Trough,Near Ballfield,Schmul Park,R,1,"Trough, Near Ballfield"," (-74.1865306006873,40.58940672417727)"
E and Dog,,Central Park,M,2,"E and Dog,"," (-73.97118436411787,40.772038054224645)"
A,Near Ballfield,Harvey Park,Q,1,"A, Near Ballfield"," (-73.82278423594565,40.78375137343267)"
A,"Out in Open, Near Ballfield",St. John's Park,B,1,"A, Out in Open, Near Ballfield"," (-73.93591289665828,40.67469558883752)"
C,In Playground,Dr. Charles R. Drew Park,Q,1,"C, In Playground"," (-73.80244757782815,40.68028455778354)"
C,Near Ballfield,Ambrosini Field,X,1,"C, Near Ballfield"," (-73.78352890506903,40.844379079820506)"
Bottle Filler High Low,,Stroud Playground,B,3,"Bottle Filler High Low,"," (-73.961834954519,40.67509959004114)"
A,Out in Open,Rockaway Beach and Boardwalk,Q,1,"A, Out in Open"," (-73.7535357376213,40.592597367146716)"
D,"Out in Open, In Playground",Melrose Playground,X,1,"D, Out in Open, In Playground"," (-73.91814163216318,40.82050430753831)"
A,Out in Open,Mullaly Park,X,1,"A, Out in Open"," (-73.92374240277063,40.83413692810766)"
E,Under_Tree,Washington Square Park,M,1,"E, Under_Tree"," (-73.9968101459791,40.73038751392079)"
D,Near Ballfield,Cunningham Park,Q,1,"D, Near Ballfield"," (-73.76495862685732,40.73868173023531)"
CS Metal,,Detective Keith L Williams Park,Q,1,"CS Metal,"," (-73.78413522824307,40.7015954218827)"
F,Out in Open,James Madison Plaza,M,1,"F, Out in Open"," (-74.00054476472198,40.71141879921402)"
D,"Out in Open, Just Outside Playground",East Elmhurst Playground,Q,1,"D, Out in Open, Just Outside Playground"," (-73.87153282799389,40.765460527816934)"
E High Low,In Playground,Prospect Park,B,2,"E High Low, In Playground"," (-73.97273051906492,40.654882784818085)"
Bottle Filler High Low,Near Soccer Field,Fairview Park,R,0,"Bottle Filler High Low, Near Soccer Field"," (-74.23471268592871,40.53080272105773)"
B,"Out in Open, Just Outside Playground",Riverside Park,M,1,"B, Out in Open, Just Outside Playground"," (-73.98196589475974,40.787440827970066)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.94636616795937,40.575938219238985)"
Bottle Filler Fountain,Indoor,Central Park,M,2,"Bottle Filler Fountain, Indoor"," (-73.97709745035903,40.76836249469992)"
C,Near Ballfield,Kissena Corridor Park,Q,1,"C, Near Ballfield"," (-73.82269157814639,40.74944259997487)"
D,In Playground,Pat Williams Playground,Q,1,"D, In Playground"," (-73.72961025547131,40.713184905327886)"
B,Under Tree,Flushing Meadows Corona Park,Q,1,"B, Under Tree"," (-73.85626653989347,40.76074782903233)"
E,"Under Tree, In Playground",Seward Park,M,1,"E, Under Tree, In Playground"," (-73.9892096786165,40.714851613742894)"
A,"Under Tree, In Playground",Lafayette Gardens Playground,B,1,"A, Under Tree, In Playground"," (-73.95745006278568,40.69004193137495)"
A,Near Ballfield,Baisley Pond Park,Q,1,"A, Near Ballfield"," (-73.78664900636191,40.68427886137335)"
A,Near Ballfield,Mosholu Parkway,X,1,"A, Near Ballfield"," (-73.88042011248693,40.86855987871217)"
C,"In Playground, Near Ballfield",Hoyt Playground,Q,1,"C, In Playground, Near Ballfield"," (-73.91744054653259,40.77134056883016)"
Trough,Out in Open,Rockaway Beach Boardwalk,Q,1,"Trough, Out in Open"," (-73.82555497240985,40.5805276860014)"
Bottle Filler,Just Outside Playground,Playground 52 LII,X,1,"Bottle Filler, Just Outside Playground"," (-73.90170892573168,40.81512977036293)"
C,In Playground,Grover Cleveland Playground,Q,1,"C, In Playground"," (-73.9108824866958,40.71126796846011)"
D,"Under Tree, Near Ballfield",De Witt Clinton Park,M,1,"D, Under Tree, Near Ballfield"," (-73.99451219718185,40.76775407902612)"
E High Low,Under Tree,Cedar Playground,X,2,"E High Low, Under Tree"," (-73.91793763277795,40.85482414443018)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.99456136523115,40.5714360792264)"
A,In Playground,Bennett Park,M,1,"A, In Playground"," (-73.937946101625,40.85315471840638)"
CS Metal High Low,In Playground,Corporal John A. Seravalli Playground,M,2,"CS Metal High Low, In Playground"," (-74.00462682036044,40.73894127548822)"
C,Under Tree,Mount Hope Playground,X,1,"C, Under Tree"," (-73.90925467453336,40.850340454019545)"
E,Near Ballfield,John V. Lindsay East River Park,M,1,"E, Near Ballfield"," (-73.9733788975093,40.71949966017641)"
Bottle Filler High Low,Out in Open,Clove Lakes Park,R,3,"Bottle Filler High Low, Out in Open"," (-74.1071003312797,40.6182521448234)"
F High Low,"In Playground, Near Ballfield",Bronx River Parkway,X,2,"F High Low, In Playground, Near Ballfield"," (-73.87364841752691,40.82705540677484)"
A,Near Ballfield,Fort Hamilton Athletic Field,B,1,"A, Near Ballfield"," (-74.03628525307178,40.62685990415474)"
A,"Out in Open, In Playground",Goble Playground,X,1,"A, Out in Open, In Playground"," (-73.91730246202641,40.84371468520476)"
E,"Under Tree, Out in Open, In Shade, In Playground",Jackie Robinson Playground,B,1,"E, Under Tree, Out in Open, In Shade, In Playground"," (-73.95929016830776,40.66562906890753)"
Bottle Filler High Low,"Out_in_Open,Under_Tree",Highland Park,Q,3,"Bottle Filler High Low, Out_in_Open,Under_Tree"," (-73.88683585239812,40.6840750823225)"
A,Out in Open,Mariners Harbor Playground,R,1,"A, Out in Open"," (-74.1603329453334,40.63660365607735)"
A,"Out in Open, Near Ballfield",City Line Park,B,1,"A, Out in Open, Near Ballfield"," (-73.87585942542448,40.67914337590812)"
Bottle Filler High Low,"In Playground, In Shade",Ogden Plimpton Playground,X,3,"Bottle Filler High Low, In Playground, In Shade"," (-73.92377447038982,40.8417900153917)"
C,"In Playground, Under Tree, In Shade",Gutenberg Playground,M,1,"C, In Playground, Under Tree, In Shade"," (-73.99008787092941,40.76327604463504)"
C,Near Ballfield,Quaker Parrot Park at the Dust Bowl,B,1,"C, Near Ballfield"," (-74.0134113863505,40.63230726293709)"
D,"Under Tree, In Playground",Highbridge Park,M,1,"D, Under Tree, In Playground"," (-73.94016141572519,40.83162396759897)"
A,Out in Open,Red Hook Recreation Area,B,1,"A, Out in Open"," (-74.00466956815443,40.671156206555544)"
CS Concrete,Just Outside Playground,Margaret I. Carman Green - Weeping Beech,Q,1,"CS Concrete, Just Outside Playground"," (-73.8248042753129,40.763459366703835)"
Indoor Drinking Fountain,Indoor,Central Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.96189148913962,40.78942754295394)"
E,"Out in Open,Under_Tree,In_Shade,Out_in_Open",Mitchel Square,M,1,"E, Out in Open,Under_Tree,In_Shade,Out_in_Open"," (-73.94007639300138,40.840099162063936)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.95933696297342,40.575054014408835)"
D,Near Ballfield,Redfern Playground,Q,1,"D, Near Ballfield"," (-73.74975853084624,40.61110291135019)"
C,"Under Tree, Near Ballfield",John V. Lindsay East River Park,M,1,"C, Under Tree, Near Ballfield"," (-73.97478960620937,40.71743507150354)"
C,"Under Tree, In Shade, Just Outside Playground",Brownsville Playground,B,1,"C, Under Tree, In Shade, Just Outside Playground"," (-73.90167507202321,40.65676092471326)"
A,Out in Open,Pulaski Park,X,1,"A, Out in Open"," (-73.92408170217135,40.805164712872234)"
E,Out in Open,Elmhurst Park,Q,1,"E, Out in Open"," (-73.88508802315293,40.729217888466295)"
CS Concrete,"Just Outside Playground, Out in Open",Roebling Playground,B,1,"CS Concrete, Just Outside Playground, Out in Open"," (-73.96238586012615,40.70608130968423)"
Indoor Drinking Fountain,Indoor,Williamsbridge Oval,X,1,"Indoor Drinking Fountain, Indoor"," (-73.878571066549,40.8766566741529)"
E,"Near Ballfield, Out in Open",Sperandeo Brothers Playground,B,1,"E, Near Ballfield, Out in Open"," (-73.88447299600256,40.67687559274819)"
E,Near Ballfield,Bush Terminal Park,B,1,"E, Near Ballfield"," (-74.01976315903285,40.65241012969744)"
A,Just Outside Playground,Dyker Beach Park,B,1,"A, Just Outside Playground"," (-74.01730529051528,40.60600944478209)"
C,"Under Tree, In Playground",Morris Mesa,X,1,"C, Under Tree, In Playground"," (-73.90955937561566,40.845261423927745)"
Indoor Drinking Fountain,Indoor,Hamilton Fish Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.98145718163548,40.71997965758501)"
Trough,Out in Open,Macombs Dam Park,X,1,"Trough, Out in Open"," (-73.9303285585562,40.827188668778454)"
Other,"Near Ballfield, In Shade",East River Waterfront Esplanade,M,1,"Other, Near Ballfield, In Shade"," (-73.98939109825608,40.71006827391886)"
C,Out in Open,Van Cortlandt Park,X,1,"C, Out in Open"," (-73.89520446018103,40.89736447343672)"
E High Low,"Near Ballfield, Out in Open",Bushwick Inlet Park,B,2,"E High Low, Near Ballfield, Out in Open"," (-73.96090657381048,40.7218121243834)"
C,"Out in Open, In Playground",Poseidon Playground,B,1,"C, Out in Open, In Playground"," (-73.99220001402612,40.5720543811708)"
C,"Under Tree, In Playground, Near Ballfield",Baruch Playground,M,1,"C, Under Tree, In Playground, Near Ballfield"," (-73.97705649093237,40.71724325246324)"
D,In Playground,Harvey Park,Q,1,"D, In Playground"," (-73.8237465260574,40.782792883803914)"
A,Out in Open,Crotona Park,X,1,"A, Out in Open"," (-73.89041139095859,40.83789680223602)"
F High Low,In Playground,Van Alst Playground,Q,2,"F High Low, In Playground"," (-73.9283132880814,40.770481826819804)"
B,"Under Tree, In Shade",Henry Hudson Park,X,1,"B, Under Tree, In Shade"," (-73.91822189492366,40.88225720135598)"
A,"Under Tree, In Shade, In Playground",West Playground,B,1,"A, Under Tree, In Shade, In Playground"," (-73.9699265107075,40.5865678971149)"
A,Out in Open,Seton Park,X,1,"A, Out in Open"," (-73.91610625888434,40.885438499762465)"
Indoor Drinking Fountain,Indoor,Lost Battalion Hall Recreation Center,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.86551322660404,40.73180427192256)"
A,Just Outside Playground,Walker Park,R,1,"A, Just Outside Playground"," (-74.11028735825862,40.64348416192855)"
A,"Near Ballfield, Just Outside Playground",Jacob H. Schiff Playground,M,1,"A, Near Ballfield, Just Outside Playground"," (-73.95252343473513,40.82038582097826)"
A,Out in Open,Detective Keith L Williams Park,Q,1,"A, Out in Open"," (-73.78515798383742,40.7040817405157)"
A,Out in Open,Astoria Park,Q,1,"A, Out in Open"," (-73.92091195466757,40.77955656790496)"
CS Concrete,In Playground,Pomonok Playground,Q,1,"CS Concrete, In Playground"," (-73.81409670137131,40.736091762357105)"
E,Near Ballfield,Riverside Park,M,1,"E, Near Ballfield"," (-73.97374889687993,40.80113100530477)"
E High Low,In Playground,Central Park,M,2,"E High Low, In Playground"," (-73.97749019868354,40.773337587772055)"
C,Out in Open,Two Coves Community Garden,Q,1,"C, Out in Open"," (-73.93217781321815,40.772137433957944)"
E High Low,In Plyaground,Rochdale Park,Q,2,"E High Low, In Plyaground"," (-73.77558324017909,40.6742202808147)"
D,Near Ballfield,Brookville Park,Q,1,"D, Near Ballfield"," (-73.74637863758849,40.66105174471965)"
Bottle Filler,,Millbrook Playground,X,1,"Bottle Filler,"," (-73.91644935837661,40.8042972440595)"
A,Out in Open,Kelly Park Playground,B,1,"A, Out in Open"," (-73.95789962433184,40.60446267705687)"
A,Near Ballfield,Midland Field,R,1,"A, Near Ballfield"," (-74.09742148857369,40.57595761327872)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.85043591195084,40.746282715825636)"
E High Low,In Playground,Riverside Park,M,2,"E High Low, In Playground"," (-73.98482277641094,40.78347493602005)"
D,"In Playground, Near Ballfield, Under Tree",St. Nicholas Park,M,1,"D, In Playground, Near Ballfield, Under Tree"," (-73.94898926829978,40.81552640117626)"
Trough,Out in Open,Macombs Dam Park,X,1,"Trough, Out in Open"," (-73.92859660976694,40.82872178154591)"
E,"Under Tree, In Playground, Out in Open",Harry Chapin Playground,B,1,"E, Under Tree, In Playground, Out in Open"," (-73.99514755516863,40.700561046011494)"
